package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,repo,source,md5ok,library
abind,1.4-5,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/abind,NA,FALSE,FALSE,2016-07-21,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
arrow,7.0.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/arrow,NA,FALSE,FALSE,2022-02-10,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
arsenal,3.6.3,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/arsenal,NA,FALSE,FALSE,2021-06-04,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
AsioHeaders,1.16.1-1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/AsioHeaders,NA,FALSE,FALSE,2020-07-07,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
askpass,1.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/askpass,NA,FALSE,FALSE,2019-01-13,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
assertthat,0.2.1,0.2.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/assertthat,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/assertthat,FALSE,FALSE,2019-03-21,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
audio,0.1-10,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/audio,NA,FALSE,FALSE,2021-11-25,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
babynames,1.0.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/babynames,NA,FALSE,FALSE,2021-04-12,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
backports,1.4.1,1.4.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/backports,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/backports,FALSE,FALSE,2021-12-13,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
base64enc,0.1-3,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/base64enc,NA,FALSE,FALSE,2015-07-28,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bayesplot,1.8.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bayesplot,NA,FALSE,FALSE,2021-06-14,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bbplot,0.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bbplot,NA,FALSE,FALSE,2021-12-01,GitHub,Github (bbc/bbplot@82af5952230c695bd317d7786587cfffea7f7621),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
beepr,1.3,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/beepr,NA,FALSE,FALSE,2018-06-04,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
beeswarm,0.4.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/beeswarm,NA,FALSE,FALSE,2021-06-01,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bench,1.1.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bench,NA,FALSE,FALSE,2021-11-30,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
BH,1.75.0-0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/BH,NA,FALSE,FALSE,2021-01-11,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
binman,0.1.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/binman,NA,FALSE,FALSE,2020-10-02,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bit,4.0.4,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bit,NA,FALSE,FALSE,2020-08-04,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bit64,4.0.5,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bit64,NA,FALSE,FALSE,2020-08-30,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bitops,1.0-7,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bitops,NA,FALSE,FALSE,2021-04-24,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
blastula,0.3.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/blastula,NA,FALSE,FALSE,2020-05-19,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
