player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
Marcus Peters,9451,CB,7,BLT,300,1,0.3,1,0,0,1,100.0,1,100.0,1,0,0,1,100.0,0,0.0,0,0,0,0,
Jaire Alexander,49350,CB,7,GB,237,1,0.4,1,0,0,1,100.0,0,0.0,0,0,0,0,,1,100.0,1,0,0,1,100.0
Dorian O'Daniel,51487,LB,2,KC,5,3,60.0,1,0,1,2,50.0,2,100.0,0,0,1,1,25.0,0,0.0,0,0,0,0,
Jonathan Greenard,48407,ED,3,HST,4,1,25.0,0,0,1,1,50.0,0,0.0,0,0,0,0,,1,100.0,0,0,1,1,50.0
Vernon Hargreaves III,10645,CB,7,HST,218,1,0.5,0,0,1,1,50.0,1,100.0,0,0,1,1,50.0,0,0.0,0,0,0,0,
Jaylen Samuels,47297,HB,1,PIT,1,1,100.0,0,1,0,1,50.0,0,,0,0,0,0,,0,,0,0,0,0,
Cody Barton,50727,LB,4,SEA,39,1,2.6,0,0,1,1,50.0,0,,0,0,0,0,,0,,0,0,0,0,
Darius Slay,7817,CB,8,PHI,279,1,0.4,0,0,1,1,50.0,0,0.0,0,0,0,0,,1,100.0,0,0,1,1,50.0
Marcus Gilchrist,6202,S,2,BLT,35,1,2.9,0,0,1,1,50.0,1,100.0,0,0,1,1,50.0,0,0.0,0,0,0,0,
Casey Hayward Jr.,7064,CB,7,LAC,276,1,0.4,0,0,1,1,50.0,1,100.0,0,0,1,1,50.0,0,0.0,0,0,0,0,
Avonte Maddox,50543,CB,5,PHI,141,1,0.7,0,0,1,1,50.0,1,100.0,0,0,1,1,50.0,0,0.0,0,0,0,0,
Charvarius Ward,43034,CB,7,KC,196,4,2.0,1,0,1,2,37.5,4,100.0,1,0,1,2,37.5,0,0.0,0,0,0,0,
Jordan Evans,11947,LB,2,CIN,12,3,25.0,1,0,0,1,33.3,1,33.3,1,0,0,1,100.0,2,66.7,0,0,0,0,0.0
Dean Marlowe,9966,S,7,BUF,60,3,5.0,1,0,0,1,33.3,1,33.3,0,0,0,0,0.0,2,66.7,1,0,0,1,50.0
Anthony Brown,10823,CB,5,DAL,133,3,2.3,0,0,2,2,33.3,1,33.3,0,0,1,1,50.0,2,66.7,0,0,1,1,25.0
Kristian Fulton,42894,CB,5,TEN,110,6,5.5,1,0,2,3,33.3,4,66.7,0,0,2,2,25.0,2,33.3,1,0,0,1,50.0
Xavier Woods,11946,S,8,DAL,283,5,1.8,0,0,3,3,30.0,4,80.0,0,0,3,3,37.5,1,20.0,0,0,0,0,0.0
Isaiah Oliver,50393,CB,8,ATL,300,7,2.3,1,0,2,3,28.6,4,57.1,0,0,1,1,12.5,3,42.9,1,0,1,2,50.0
Troy Reeder,38268,LB,2,LA,54,9,16.7,2,0,1,3,27.8,3,37.5,1,0,1,2,50.0,5,62.5,0,0,0,0,0.0
Dre Kirkpatrick,7023,CB,7,ARZ,225,2,0.9,0,0,1,1,25.0,1,50.0,0,0,1,1,50.0,1,50.0,0,0,0,0,0.0
Sheldrick Redwine,50458,S,3,CLV,53,4,7.5,1,0,0,1,25.0,2,50.0,1,0,0,1,50.0,2,50.0,0,0,0,0,0.0
Chris Banjo,8419,S,4,ARZ,87,2,2.3,0,1,0,1,25.0,2,100.0,0,1,0,1,25.0,0,0.0,0,0,0,0,
Leighton Vander Esch,50950,LB,4,DAL,87,4,4.6,1,0,0,1,25.0,3,100.0,1,0,0,1,33.3,0,0.0,0,0,0,0,
Ronald Darby,9483,CB,7,WAS,220,2,0.9,0,0,1,1,25.0,2,100.0,0,0,1,1,25.0,0,0.0,0,0,0,0,
Deionte Thompson,25444,S,5,ARZ,196,4,2.0,0,1,1,2,25.0,2,50.0,0,1,0,1,25.0,2,50.0,0,0,1,1,25.0
Marquise Copeland,38540,DI,1,LA,2,2,100.0,0,0,1,1,25.0,1,50.0,0,0,0,0,0.0,1,50.0,0,0,1,1,50.0
Tevaughn Campbell,91247,CB,3,LAC,41,2,4.9,0,0,1,1,25.0,1,50.0,0,0,1,1,50.0,1,50.0,0,0,0,0,0.0
Stephon Gilmore,7016,CB,6,NE,193,2,1.0,0,0,1,1,25.0,1,50.0,0,0,0,0,0.0,1,50.0,0,0,1,1,50.0
A.J. Terrell,55586,CB,6,ATL,231,2,0.9,0,1,0,1,25.0,1,50.0,0,1,0,1,50.0,1,50.0,0,0,0,0,0.0
Duron Harmon,7872,S,7,DET,259,2,0.8,0,1,0,1,25.0,0,0.0,0,0,0,0,,2,100.0,0,1,0,1,25.0
Keisean Nixon,56167,CB,3,LV,17,2,11.8,0,1,0,1,25.0,1,50.0,0,1,0,1,50.0,1,50.0,0,0,0,0,0.0
Jimmy Smith,6179,CB,7,BLT,229,4,1.7,1,0,0,1,25.0,4,100.0,1,0,0,1,25.0,0,0.0,0,0,0,0,
Nik Needham,50356,CB,5,MIA,181,15,8.3,0,0,7,7,23.3,2,13.3,0,0,2,2,50.0,13,86.7,0,0,5,5,19.2
Jalen Mills,10867,S,8,PHI,310,15,4.8,1,2,3,6,23.3,12,80.0,1,2,3,6,29.2,3,20.0,0,0,0,0,0.0
Kyzir White,44485,LB,7,LAC,226,11,4.9,1,2,1,4,22.7,5,45.5,1,1,1,3,40.0,6,54.5,0,1,0,1,8.3
Cole Holcomb,49753,LB,2,WAS,33,7,21.2,1,1,0,2,21.4,7,100.0,1,1,0,2,21.4,0,0.0,0,0,0,0,
Adrian Amos,9575,S,7,GB,239,7,2.9,1,1,0,2,21.4,4,57.1,0,0,0,0,0.0,3,42.9,1,1,0,2,50.0
Jamar Taylor,7835,CB,4,SF,82,10,12.2,1,1,1,3,20.0,3,30.0,0,0,1,1,16.7,7,70.0,1,1,0,2,21.4
Tre'Davious White,11782,CB,7,BUF,252,5,2.0,1,0,0,1,20.0,4,80.0,0,0,0,0,0.0,1,20.0,1,0,0,1,100.0
Dakota Allen,30076,LB,4,JAX,60,5,8.3,0,0,2,2,20.0,3,60.0,0,0,0,0,0.0,2,40.0,0,0,2,2,50.0
Keanu Neal,10651,S,7,ATL,252,10,4.0,1,1,1,3,20.0,7,70.0,1,1,1,3,28.6,3,30.0,0,0,0,0,0.0
Antonio Hamilton,11353,CB,5,KC,66,5,7.6,0,1,1,2,20.0,2,40.0,0,0,1,1,25.0,3,60.0,0,1,0,1,16.7
Jayron Kearse,10878,S,4,DET,73,5,6.8,0,1,1,2,20.0,3,75.0,0,0,1,1,16.7,1,25.0,0,0,0,0,0.0
Darius Phillips,49507,CB,8,CIN,233,8,3.4,0,2,1,3,18.8,6,75.0,0,2,1,3,25.0,2,25.0,0,0,0,0,0.0
Jalen Ramsey,10639,CB,7,LA,289,8,2.8,1,0,1,2,18.8,3,37.5,1,0,1,2,50.0,5,62.5,0,0,0,0,0.0
Vince Williams,7988,LB,7,PIT,183,32,17.5,3,1,5,9,18.8,15,51.7,1,1,2,4,16.7,14,48.3,2,0,2,4,21.4
Jordan Whitehead,49196,S,7,TB,275,19,6.9,2,1,2,5,18.4,11,61.1,1,0,1,2,13.6,7,38.9,1,1,1,3,28.6
Mike Hilton,10898,CB,5,PIT,150,28,18.7,3,2,2,7,17.9,17,60.7,2,2,1,5,20.6,11,39.3,1,0,1,2,13.6
Elandon Roberts,10848,LB,6,MIA,68,14,20.6,1,1,2,4,17.9,7,50.0,1,0,1,2,21.4,7,50.0,0,1,1,2,14.3
Logan Ryan,7864,S,7,NYG,257,14,5.4,1,1,2,4,17.9,6,42.9,1,0,2,3,33.3,8,57.1,0,1,0,1,6.3
Marlon Humphrey,11771,CB,7,BLT,299,17,5.7,2,1,1,4,17.6,9,52.9,1,1,1,3,22.2,8,47.1,1,0,0,1,12.5
Bradlee Anae,43982,ED,3,DAL,3,3,100.0,0,1,0,1,16.7,1,33.3,0,1,0,1,50.0,2,66.7,0,0,0,0,0.0
Cre'Von LeBlanc,11218,CB,7,PHI,141,12,8.5,1,0,2,3,16.7,6,50.0,1,0,1,2,25.0,6,50.0,0,0,1,1,8.3
Ronnie Harrison,49206,S,7,CLV,115,3,2.6,0,0,1,1,16.7,1,33.3,0,0,0,0,0.0,2,66.7,0,0,1,1,25.0
