player,player_id,position,player_game_count,team_name,run_snaps,tackles,assists,misses,stops,stop_percent
Marquise Copeland,38540,DI,1,LA,1,1,0,0,1,100.0
Joe Walker,10885,LB,1,SF,2,2,0,0,2,100.0
Andrew Adams,11240,S,1,TB,1,1,0,0,1,100.0
Michael Thomas,7279,S,3,HST,5,3,1,0,2,40.0
Brandin Bryant,11280,DI,1,BUF,3,1,0,0,1,33.3
Kyle Wilber,7113,LB,3,LV,3,1,0,0,1,33.3
Nick Dzubnar,10127,LB,2,TEN,3,1,0,0,1,33.3
Datone Jones,7807,DI,1,LV,4,1,0,0,1,25.0
Joe Jackson,44615,ED,3,CLV,13,3,1,1,3,23.1
Tanner Vallejo,11950,LB,3,ARZ,9,3,1,0,2,22.2
Nick Bosa,42741,ED,2,SF,23,5,1,0,5,21.7
D.J. Swearinger Sr.,7838,S,2,NO,5,1,0,0,1,20.0
Armani Watts,51264,S,2,KC,5,2,0,0,1,20.0
Freedom Akinmoladun,48374,DI,1,CIN,10,2,0,0,2,20.0
Anthony Nelson,48405,ED,7,TB,32,8,0,0,6,18.8
James Smith-Williams,48455,ED,4,WAS,16,3,0,0,3,18.8
Jamal Carter,49282,S,1,ATL,12,2,0,0,2,16.7
Austin Larkin,38754,ED,3,CAR,12,2,0,0,2,16.7
Calais Campbell,4364,DI,7,BLT,78,13,3,2,13,16.7
Jeremiah Ledbetter,11960,DI,1,TB,6,1,1,0,1,16.7
Tavon Wilson,7051,S,2,IND,13,2,0,0,2,15.4
Ogbonnia Okoronkwo,50130,ED,5,LA,14,2,1,0,2,14.3
Andre Smith,50897,LB,1,BUF,14,2,0,0,2,14.3
David Long,29367,LB,2,TEN,7,1,1,0,1,14.3
Jalen Reeves-Maybin,11879,LB,3,DET,7,1,0,0,1,14.3
Jacob Phillips,57942,LB,3,CLV,14,2,0,0,2,14.3
Cameron Lewis,49395,CB,2,BUF,35,5,1,1,5,14.3
Brandon Facyson,50564,CB,2,LAC,7,1,0,0,1,14.3
Alex Highsmith,43507,ED,7,PIT,36,7,2,0,5,13.9
Mike Hilton,10898,CB,5,PIT,44,6,0,4,6,13.6
Frankie Luvu,51028,LB,5,NYJ,22,3,0,1,3,13.6
Shaun Bradley,42632,LB,6,PHI,30,4,0,0,4,13.3
M.J. Stewart,49397,CB,3,CLV,15,3,0,0,2,13.3
Will Parks,10853,S,3,PHI,30,5,0,0,4,13.3
Shy Tuttle,37279,DI,4,NO,38,5,1,2,5,13.2
Demarcus Lawrence,8669,ED,8,DAL,130,21,2,4,17,13.1
Brandon Williams,7875,DI,6,BLT,86,13,5,2,11,12.8
Sebastian Joseph-Day,49935,DI,8,LA,109,20,6,2,14,12.8
Khalen Saunders,31534,DI,2,KC,8,1,0,0,1,12.5
Foyesade Oluokun,24904,LB,7,ATL,120,21,6,4,15,12.5
Hercules Mata'afa,48931,ED,4,MIN,8,3,1,0,1,12.5
Emeke Egbule,45378,ED,1,LAC,8,1,0,0,1,12.5
Eli Apple,10644,CB,1,CAR,8,1,0,0,1,12.5
Marcus Davenport,50291,ED,3,NO,24,3,1,1,3,12.5
Grover Stewart,11899,DI,7,IND,116,18,4,0,14,12.1
Stephon Tuitt,8681,DI,7,PIT,132,17,3,2,16,12.1
Alex Okafor,7885,ED,4,KC,25,3,2,0,3,12.0
John Jenkins,7863,DI,5,CHI,51,6,2,1,6,11.8
Lavonte David,7060,LB,7,TB,144,21,8,3,17,11.8
Andrew Van Ginkel,30267,ED,7,MIA,51,9,1,2,6,11.8
Myles Jack,10670,LB,5,JAX,127,20,7,2,15,11.8
Hassan Ridgeway,10750,DI,7,PHI,68,9,1,0,8,11.8
Zach Sieler,66917,DI,7,MIA,77,10,3,2,9,11.7
Steve McLendon,5232,DI,7,TB,111,15,5,1,13,11.7
Micah Kiser,50879,LB,7,LA,163,26,10,2,19,11.7
Montravius Adams,11848,DI,6,GB,44,6,3,0,5,11.4
Quinnen Williams,44216,DI,8,NYJ,123,17,7,1,14,11.4
Darius Leonard,49684,LB,5,IND,80,14,3,2,9,11.3
Brandon Carr,4454,S,2,DAL,9,1,0,0,1,11.1
Isaac Rochell,11980,ED,7,LAC,54,9,2,0,6,11.1
Zack Baun,34632,LB,3,NO,18,2,0,0,2,11.1
Blake Martinez,10765,LB,7,NYG,189,30,10,3,21,11.1
