tm,blitz_pct,press_pct,pass_att,int,pass_def,sack,ypa,anypa
Atlanta Falcons,32.2,24.3,539,9,44,28,7.9,7.4
Buffalo Bills,36.6,21.4,493,12,64,34,7,6
Carolina Panthers,24.7,20.5,506,5,48,24,7,6.8
Chicago Bears,22.3,21.6,486,8,60,33,7.2,6.4
Cincinnati Bengals,32.6,17.7,489,10,72,16,7.2,6.9
Cleveland Browns,21.4,17.9,508,10,64,35,7.3,6.5
Indianapolis Colts,17.6,24.5,471,15,67,33,7.5,6
Arizona Cardinals,39.3,25.3,510,10,49,43,6.9,5.9
Dallas Cowboys,23.8,22.8,449,7,39,26,7.2,7.2
Denver Broncos,29.4,25.4,496,8,54,37,7,6
Detroit Lions,22.5,17.4,475,7,45,19,8.1,8
Green Bay Packers,25.3,21.2,468,8,59,38,7.3,6.5
Houston Texans,35.2,20.5,476,3,43,32,7.9,7.7
Jacksonville Jaguars,31.7,18.6,470,10,55,17,8.3,8.2
Kansas City Chiefs,35.5,23.2,491,16,60,25,6.9,5.8
Miami Dolphins,39.5,23.5,473,16,69,37,7.7,5.8
Minnesota Vikings,25.6,18.3,510,14,49,22,7.8,7.1
New Orleans Saints,28,24.7,520,13,74,42,6.7,5.7
New England Patriots,23.7,26.9,420,16,48,21,7.4,5.9
New York Giants,27.5,25,501,10,69,34,7.4,6.3
New York Jets,39.2,20.3,521,10,53,24,7.8,7.5
Tennessee Titans,27.2,16.9,565,13,78,14,7,6.7
Philadelphia Eagles,22.5,25.7,468,5,38,44,7.7,6.8
Pittsburgh Steelers,41.9,33.3,465,17,76,47,6.5,4.6
Las Vegas Raiders,20.5,22.7,504,10,67,16,7.4,7
Los Angeles Rams,26.9,22.1,489,13,59,44,6.1,4.5
Baltimore Ravens,42.9,22.8,534,8,52,33,6.6,5.9
Los Angeles Chargers,17.2,22.6,464,10,47,24,7,6.5
Seattle Seahawks,35,21.6,594,13,71,40,7.2,6.2
San Francisco 49ers,32.7,23.8,451,11,53,25,6.9,6.1
Tampa Bay Buccaneers,38.9,26.4,542,14,61,43,7.2,6
Washington Football Team,32.1,24.7,468,13,54,40,6.6,5.2
