player,games,g,a1,a2,pts,gs_tot,team.x,gs_avg,num_last_first,player_team_num,position,position_type,season,session,team.y,jersey_number,first_name,last_name,year,full_name,team_name,player_id,logo,headshot_url,action_shot_url
CONNOR.MCDAVID,7,4,4,2,10,11.855,EDM,1.5067857142857144,"97 MCDAVID, CONNOR",EDM97,C,F,20202021,R,EDM,97,CONNOR,MCDAVID,20202021,CONNOR MCDAVID,Oilers,8478402,http://content.sportslogos.net/logos/1/12/thumbs/1227282018.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8478402.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8478402.jpg
"NATHAN.MACKINNON",6,2,5,1,8,10.629999999999999,COL,1.7733333333333332,"29 MACKINNON, NATHAN",COL29,C,F,20202021,R,COL,29,"NATHAN",MACKINNON,20202021,"NATHAN MACKINNON",Avalanche,8477492,http://content.sportslogos.net/logos/1/8/thumbs/64.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8477492.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8477492.jpg
MIKKO.RANTANEN,6,5,1,1,7,10.02,COL,1.8225,"96 RANTANEN, MIKKO",COL96,R,F,20202021,R,COL,96,MIKKO,RANTANEN,20202021,MIKKO RANTANEN,Avalanche,8478420,http://content.sportslogos.net/logos/1/8/thumbs/64.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8478420.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8478420.jpg
ANZE.KOPITAR,6,1,6,3,10,9.785,L.A,1.7329166666666667,"11 KOPITAR, ANZE",L.A11,C,F,20202021,R,L.A,11,ANZE,KOPITAR,20202021,ANZE KOPITAR,Kings,8471685,http://content.sportslogos.net/logos/1/14/thumbs/1422202020.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8471685.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8471685.jpg
TYLER.TOFFOLI,6,5,1,2,8,9.690000000000001,MTL,1.3850000000000002,"73 TOFFOLI, TYLER",MTL73,C,F,20202021,R,MTL,73,TYLER,TOFFOLI,20202021,TYLER TOFFOLI,Canadiens,8475726,http://content.sportslogos.net/logos/1/16/thumbs/124.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8475726.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8475726.jpg
MITCH.MARNER,7,4,6,0,10,9.135,TOR,1.3025000000000002,"16 MARNER, MITCHELL",TOR16,C,F,20202021,R,TOR,16,MITCHELL,MARNER,20202021,MITCHELL MARNER,Maple Leafs,8478483,http://content.sportslogos.net/logos/1/28/thumbs/2887612017.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8478483.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8478483.jpg
AUSTON.MATTHEWS,6,3,1,2,6,8.785,TOR,1.5683333333333336,"34 MATTHEWS, AUSTON",TOR34,C,F,20202021,R,TOR,34,AUSTON,MATTHEWS,20202021,AUSTON MATTHEWS,Maple Leafs,8479318,http://content.sportslogos.net/logos/1/28/thumbs/2887612017.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8479318.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8479318.jpg
SIDNEY.CROSBY,6,3,1,3,7,8.285,PIT,1.4779166666666668,"87 CROSBY, SIDNEY",PIT87,C,F,20202021,R,PIT,87,SIDNEY,CROSBY,20202021,SIDNEY CROSBY,Penguins,8471675,http://content.sportslogos.net/logos/1/24/thumbs/2463622017.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8471675.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8471675.jpg
JOHN.TAVARES,7,4,2,1,7,8.24,TOR,1.0585714285714285,"91 TAVARES, JOHN",TOR91,C,F,20202021,R,TOR,91,JOHN,TAVARES,20202021,JOHN TAVARES,Maple Leafs,8475166,http://content.sportslogos.net/logos/1/28/thumbs/2887612017.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8475166.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8475166.jpg
LEON.DRAISAITL,7,3,4,2,9,8.225,EDM,1.0899999999999999,"29 DRAISAITL, LEON",EDM29,C,F,20202021,R,EDM,29,LEON,DRAISAITL,20202021,LEON DRAISAITL,Oilers,8477934,http://content.sportslogos.net/logos/1/12/thumbs/1227282018.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8477934.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8477934.jpg
