year,conf,team_name,abb_name,logos,win_percent,differential
2014,AFC,Patriots,NE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,0.75,155
2014,AFC,Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,0.75,128
2014,AFC,Steelers,PIT,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,0.6875,68
2014,AFC,Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,0.6875,89
2014,AFC,Bengals,CIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png,0.65625,21
2014,AFC,Ravens,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,0.625,107
2014,AFC,Chiefs,KC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/kc.png,0.5625,72
2014,AFC,Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,0.5625,65
2014,AFC,Chargers,SD,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sd.png,0.5625,0
2014,AFC,Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,0.5625,54
2014,AFC,Dolphins,MIA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,0.5,15
2014,AFC,Browns,CLE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,0.4375,-38
2014,AFC,Jets,NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png,0.25,-118
2014,AFC,Jaguars,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,0.1875,-163
2014,AFC,Raiders,OAK,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/oak.png,0.1875,-199
2014,AFC,Titans,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,0.125,-184
2014,NFC,Seahawks,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,0.75,140
2014,NFC,Packers,GB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,0.75,138
2014,NFC,Cowboys,DAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,0.75,115
2014,NFC,Cardinals,ARI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ari.png,0.6875,11
2014,NFC,Lions,DET,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,0.6875,39
2014,NFC,Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,0.625,74
2014,NFC,49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,0.5,-34
2014,NFC,Panthers,CAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png,0.46875,-35
2014,NFC,Saints,NO,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,0.4375,-23
2014,NFC,Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,0.4375,-18
2014,NFC,Giants,NYG,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,0.375,-20
2014,NFC,Falcons,ATL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,0.375,-36
2014,NFC,Rams,STL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/stl.png,0.375,-30
2014,NFC,Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,0.3125,-123
2014,NFC,Redskins,WSH,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png,0.25,-137
2014,NFC,Buccaneers,TB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,0.125,-133
2015,AFC,Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,0.75,59
2015,AFC,Patriots,NE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,0.75,150
2015,AFC,Bengals,CIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png,0.75,140
2015,AFC,Chiefs,KC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/kc.png,0.6875,118
2015,AFC,Steelers,PIT,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,0.625,104
2015,AFC,Jets,NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png,0.625,73
2015,AFC,Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,0.5625,26
2015,AFC,Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,0.5,20
2015,AFC,Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,0.5,-75
2015,AFC,Raiders,OAK,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/oak.png,0.4375,-40
2015,AFC,Dolphins,MIA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,0.375,-79
2015,AFC,Jaguars,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,0.3125,-72
2015,AFC,Ravens,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,0.3125,-73
2015,AFC,Chargers,SD,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sd.png,0.25,-78
2015,AFC,Browns,CLE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,0.1875,-154
2015,AFC,Titans,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,0.1875,-124
2015,NFC,Panthers,CAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png,0.9375,192
2015,NFC,Cardinals,ARI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ari.png,0.8125,176
2015,NFC,Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,0.6875,63
2015,NFC,Packers,GB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,0.625,45
2015,NFC,Seahawks,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,0.625,146
2015,NFC,Redskins,WSH,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png,0.5625,9
2015,NFC,Falcons,ATL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,0.5,-6
2015,NFC,Rams,STL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/stl.png,0.4375,-50
2015,NFC,Lions,DET,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,0.4375,-42
2015,NFC,Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,0.4375,-53
2015,NFC,Saints,NO,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,0.4375,-68
2015,NFC,Giants,NYG,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,0.375,-22
2015,NFC,Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,0.375,-62
2015,NFC,Buccaneers,TB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,0.375,-75
2015,NFC,49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,0.3125,-149
2015,NFC,Cowboys,DAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,0.25,-99
2016,AFC,Patriots,NE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,0.875,191
2016,AFC,Chiefs,KC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/kc.png,0.75,78
2016,AFC,Raiders,OAK,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/oak.png,0.75,31
2016,AFC,Steelers,PIT,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,0.6875,72
2016,AFC,Dolphins,MIA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,0.625,-17
2016,AFC,Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,0.5625,-49
2016,AFC,Titans,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,0.5625,3
2016,AFC,Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,0.5625,36
2016,AFC,Ravens,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,0.5,22
2016,AFC,Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,0.5,19
2016,AFC,Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,0.4375,21
2016,AFC,Bengals,CIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png,0.40625,10
2016,AFC,Jets,NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png,0.3125,-134
2016,AFC,Chargers,SD,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sd.png,0.3125,-13
2016,AFC,Jaguars,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,0.1875,-82
2016,AFC,Browns,CLE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,0.0625,-188
2016,NFC,Cowboys,DAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,0.8125,115
2016,NFC,Falcons,ATL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,0.6875,134
2016,NFC,Giants,NYG,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,0.6875,26
2016,NFC,Seahawks,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,0.65625,62
2016,NFC,Packers,GB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,0.625,44
2016,NFC,Lions,DET,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,0.5625,-12
2016,NFC,Buccaneers,TB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,0.5625,-15
2016,NFC,Redskins,WSH,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png,0.53125,13
2016,NFC,Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,0.5,20
2016,NFC,Cardinals,ARI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ari.png,0.46875,56
2016,NFC,Saints,NO,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,0.4375,15
2016,NFC,Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,0.4375,36
2016,NFC,Panthers,CAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png,0.375,-33
2016,NFC,Rams,LAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png,0.25,-170
2016,NFC,Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,0.1875,-120
2016,NFC,49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,0.125,-171
2017,AFC,Patriots,NE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,0.8125,162
2017,AFC,Steelers,PIT,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,0.8125,98
2017,AFC,Jaguars,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,0.625,149
2017,AFC,Chiefs,KC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/kc.png,0.625,76
2017,AFC,Titans,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,0.5625,-22
2017,AFC,Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,0.5625,-57
2017,AFC,Ravens,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,0.5625,92
2017,AFC,Chargers,LAC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lac.png,0.5625,83
2017,AFC,Bengals,CIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png,0.4375,-59
2017,AFC,Raiders,OAK,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/oak.png,0.375,-72
2017,AFC,Dolphins,MIA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,0.375,-112
2017,AFC,Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,0.3125,-93
2017,AFC,Jets,NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png,0.3125,-84
2017,AFC,Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,0.25,-141
2017,AFC,Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,0.25,-98
2017,AFC,Browns,CLE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,0,-176
2017,NFC,Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,0.8125,162
2017,NFC,Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,0.8125,130
2017,NFC,Rams,LAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png,0.6875,149
2017,NFC,Saints,NO,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,0.6875,122
